match_key,image,sample_id,sample_seed,randomization_seed,sample_index,random_brightness,random_contrast,final_score_direct,final_score_exploratory,absolute_improvement_direct,absolute_improvement_exploratory,relative_improvement_direct,relative_improvement_exploratory,randomized_score_direct,randomized_score_exploratory,filter_adjustments_direct,filter_adjustments_exploratory,vlm_snapshots_direct,vlm_snapshots_exploratory,score_delta_exploratory_minus_direct,exploratory_better,improvement_delta_exploratory_minus_direct
168131120|3921469307|12521|1.0|3.0,Tile_r049_c031.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r049_c031.tiff,168131120,3921469307,12521,1.0,3.0,0.114247,0.080005,0.229532,0.263774,66.76865636062703,76.72889075539808,0.343779,0.343779,5.0,7.0,5.0,7.0,-0.034241999999999995,True,0.034241999999999995
1722419613|448054729|4470|56.0|21.0,Tile_r008_c003.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r008_c003.tiff,1722419613,448054729,4470,56.0,21.0,0.134657,0.237095,0.20328,0.10084199999999999,60.15161191287133,29.840236612149603,0.337937,0.337937,5.0,9.0,5.0,8.0,0.102438,False,-0.102438
1736721899|3001043389|18104|188.0|143.0,1684.tiff,/unlabeled-assets/train/grids/1684.tiff,1736721899,3001043389,18104,188.0,143.0,0.415353,0.551852,4.303576,4.167077,91.19907555294856,88.30778339640202,4.718929,4.718929,5.0,9.0,5.0,8.0,0.13649899999999998,False,-0.1364989999999997
1778564714|2402170343|17176|46.0|24.0,Tile_r036_c026.tiff,/unlabeled-assets/train/Grid_Scan_Paper/Tile_r036_c026.tiff,1778564714,2402170343,17176,46.0,24.0,0.145508,0.009542,0.128969,0.26493500000000003,46.98858962681755,96.52178514046714,0.274477,0.274477,4.0,7.0,4.0,7.0,-0.135966,True,0.13596600000000003
1889449422|3363251591|5944|139.0|228.0,Tile_r026_c073.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r026_c073.tiff,1889449422,3363251591,5944,139.0,228.0,0.089934,0.093957,4.472046,4.4680230000000005,98.0293095761051,97.94021687951285,4.56198,4.56198,4.0,7.0,4.0,7.0,0.004022999999999999,False,-0.004022999999999222
2458321571|1300632040|20151|75.0|237.0,749.tiff,/unlabeled-assets/train/grids/749.tiff,2458321571,1300632040,20151,75.0,237.0,4.574174,4.62135,-3.897423,-3.944599,-575.9010336889048,-582.8715106220752,0.676751,0.676751,11.0,9.0,11.0,8.0,0.04717599999999944,False,-0.04717600000000033
2513733185|2000155208|11401|117.0|261.0,Tile_r034_c006.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r034_c006.tiff,2513733185,2000155208,11401,117.0,261.0,0.159138,0.056362,1.36964,1.472416,89.5902547721121,96.3116322906269,1.528778,1.528778,5.0,7.0,5.0,7.0,-0.102776,True,0.10277599999999998
2528650754|1031676645|12180|34.0|299.0,Tile_r044_c055.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r044_c055.tiff,2528650754,1031676645,12180,34.0,299.0,0.111455,0.074841,5.014780999999999,5.051394999999999,97.82789632393046,98.54001995226128,5.126236,5.126236,4.0,9.0,4.0,8.0,-0.036613999999999994,True,0.036614000000000146
2565434308|2046115673|13221|13.0|288.0,Region003_y07_x07_fw120um.tiff,/unlabeled-assets/train/Combined_New_Scans_Andrea/Region003_y07_x07_fw120um.tiff,2565434308,2046115673,13221,13.0,288.0,0.049957,0.546873,5.414402,4.917486,99.08788325492523,89.99100044579794,5.464359,5.464359,4.0,9.0,4.0,8.0,0.496916,False,-0.4969159999999997
2576954896|2839794872|8679|22.0|213.0,Tile_r062_c000.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r062_c000.tiff,2576954896,2839794872,8679,22.0,213.0,0.047332,0.164963,5.10719,4.989559,99.08086916303782,96.79982252476563,5.154522,5.154522,4.0,9.0,4.0,8.0,0.117631,False,-0.11763100000000026
263579749|3499514290|19407|12.0|182.0,2857.tiff,/unlabeled-assets/train/grids/2857.tiff,263579749,3499514290,19407,12.0,182.0,0.189202,0.142724,4.83538,4.881857999999999,96.23223641887026,97.15974255370894,5.024582,5.024582,4.0,9.0,4.0,8.0,-0.04647800000000002,True,0.046477999999999575
2646245732|32819506|5009|68.0|287.0,Tile_r014_c074.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r014_c074.tiff,2646245732,32819506,5009,68.0,287.0,0.234103,0.22623,4.823976,4.831849,95.37085069549131,95.5286766843697,5.058079,5.058079,6.0,9.0,6.0,8.0,-0.007873000000000019,True,0.007873000000000019
2758080652|2747868067|20121|157.0|214.0,721.tiff,/unlabeled-assets/train/grids/721.tiff,2758080652,2747868067,20121,157.0,214.0,0.25895,0.152802,0.036802,0.14295000000000002,12.441766885769159,48.33220766047229,0.295752,0.295752,6.0,9.0,6.0,8.0,-0.10614800000000002,True,0.10614800000000002
2805460386|2593140400|18647|288.0|283.0,2172.tiff,/unlabeled-assets/train/grids/2172.tiff,2805460386,2593140400,18647,288.0,283.0,2.095003,2.091512,1.0635269999999997,1.067018,33.67079070010416,33.78105374968736,3.15853,3.15853,5.0,9.0,5.0,8.0,-0.003491000000000355,True,0.003491000000000355
2808946496|2755462218|3635|137.0|43.0,Tile_r057_c044.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r057_c044.tiff,2808946496,2755462218,3635,137.0,43.0,0.022957,0.222297,0.16668,-0.032659999999999995,87.89212002404594,-17.221188744812455,0.189637,0.189637,4.0,9.0,4.0,8.0,0.19934,False,-0.19934
2905346897|1626609631|11424|226.0|194.0,Tile_r034_c029.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r034_c029.tiff,2905346897,1626609631,11424,226.0,194.0,0.111797,0.13277,1.8545,1.833527,94.31216903397606,93.24885692497115,1.966297,1.966297,4.0,9.0,4.0,8.0,0.020973000000000006,False,-0.02097300000000013
2939949445|1569711429|12601|45.0|83.0,Tile_r050_c038.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r050_c038.tiff,2939949445,1569711429,12601,45.0,83.0,0.175524,0.13674,-0.11888200000000002,-0.080098,-209.88156279792383,-141.4104835634335,0.056642,0.056642,5.0,8.0,4.0,8.0,-0.03878400000000001,True,0.03878400000000001
2969846608|3161174452|2395|127.0|299.0,Tile_r038_c001.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r038_c001.tiff,2969846608,3161174452,2395,127.0,299.0,0.080969,0.196619,2.772184,2.6565339999999997,97.1610610226651,93.10935583019908,2.853153,2.853153,4.0,9.0,4.0,8.0,0.11564999999999999,False,-0.11565000000000047
2970359683|1778510655|8321|104.0|295.0,Tile_r057_c032.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r057_c032.tiff,2970359683,1778510655,8321,104.0,295.0,0.114277,0.162906,4.139435,4.090806000000001,97.31173792678018,96.17013129238651,4.253712,4.253712,4.0,9.0,4.0,8.0,0.04862899999999999,False,-0.048628999999999145
3023325297|3892393751|22017|229.0|61.0,1419.tiff,/unlabeled-assets/val/grids/1419.tiff,3023325297,3892393751,22017,229.0,61.0,0.63822,0.650486,-0.08701000000000002,-0.09927600000000002,-15.787636200359213,-18.0102792946427,0.55121,0.55121,4.0,8.0,4.0,8.0,0.012265999999999999,False,-0.012265999999999999
3219169680|3036844865|17875|22.0|87.0,1478.tiff,/unlabeled-assets/train/grids/1478.tiff,3219169680,3036844865,17875,22.0,87.0,0.32403,0.43998,-0.10884999999999999,-0.2248,-50.58777813923227,-104.47033785667813,0.21518,0.21518,5.0,9.0,5.0,9.0,0.11595,False,-0.11595000000000001
3267246297|2669635991|2859|195.0|47.0,Tile_r045_c024.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r045_c024.tiff,3267246297,2669635991,2859,195.0,47.0,0.044387,0.223173,0.20814,0.029353999999999998,82.42143481687107,11.622051780601677,0.252527,0.252527,4.0,9.0,4.0,9.0,0.178786,False,-0.178786
3270676071|3376670428|3550|171.0|293.0,Tile_r056_c022.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r056_c022.tiff,3270676071,3376670428,3550,171.0,293.0,0.027286,0.13501,4.329503,4.221779,99.37185653585703,96.90057908473419,4.356789,4.356789,4.0,8.0,4.0,8.0,0.10772399999999999,False,-0.10772400000000015
3286302088|238969264|21529|13.0|53.0,Region027_y20_x03_fw120um.tiff,/unlabeled-assets/val/Combined_New_Scans_Andrea/Region027_y20_x03_fw120um.tiff,3286302088,238969264,21529,13.0,53.0,0.083914,0.133524,0.067968,0.018357999999999992,44.75026500836175,12.088507459738477,0.151882,0.151882,5.0,8.0,5.0,8.0,0.04961,False,-0.04961000000000001
3294160735|1854346012|17582|58.0|144.0,1213.tiff,/unlabeled-assets/train/grids/1213.tiff,3294160735,1854346012,17582,58.0,144.0,0.414693,0.358887,3.8501720000000006,3.905978,90.27826346203221,91.58751629301278,4.264865,4.264865,4.0,9.0,4.0,8.0,-0.05580599999999997,True,0.05580599999999958
3369970377|1122215347|3245|152.0|137.0,Tile_r051_c032.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r051_c032.tiff,3369970377,1122215347,3245,152.0,137.0,0.120507,0.085381,1.266469,1.301595,91.31076477170478,93.84204479385369,1.386976,1.386976,4.0,7.0,4.0,7.0,-0.035126000000000004,True,0.03512599999999999
3371444253|815145694|13714|199.0|23.0,Region007_y01_x01_fw120um_1.tiff,/unlabeled-assets/train/Combined_New_Scans_Andrea/Region007_y01_x01_fw120um_1.tiff,3371444253,815145694,13714,199.0,23.0,0.717385,0.686942,0.076121,0.10656399999999999,9.591498073108458,13.429757040274428,0.793506,0.793506,6.0,10.0,6.0,9.0,-0.030442999999999998,True,0.030442999999999998
3453875298|510860790|4482|115.0|158.0,Tile_r008_c015.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r008_c015.tiff,3453875298,510860790,4482,115.0,158.0,0.157668,0.304011,4.652101,4.505758,96.72096078626646,93.67965071919255,4.809769,4.809769,4.0,9.0,4.0,8.0,0.14634299999999997,False,-0.1463429999999999
3584343249|1943886720|18618|260.0|268.0,2146.tiff,/unlabeled-assets/train/grids/2146.tiff,3584343249,1943886720,18618,260.0,268.0,1.028938,0.973525,2.915222,2.970635,73.91118331913512,75.31865228591133,3.94416,3.94416,4.0,9.0,4.0,8.0,-0.055412999999999935,True,0.05541300000000016
3727988831|3245541069|23695|266.0|132.0,293.tiff,/unlabeled-assets/val/grids/293.tiff,3727988831,3245541069,23695,266.0,132.0,0.079652,0.09415,1.575337,1.560839,95.18857917182531,94.31057021829147,1.654989,1.654989,5.0,8.0,5.0,8.0,0.014497999999999997,False,-0.0144979999999999
3734924346|1735994639|12200|70.0|36.0,Tile_r045_c002.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r045_c002.tiff,3734924346,1735994639,12200,70.0,36.0,0.19781,0.192253,0.010013999999999999,0.015571000000000002,4.819250134729385,7.49119870659789,0.207824,0.207824,5.0,8.0,5.0,8.0,-0.005557000000000006,True,0.005557000000000003
3858210126|1097498512|17901|77.0|157.0,1500.tiff,/unlabeled-assets/train/grids/1500.tiff,3858210126,1097498512,17901,77.0,157.0,1.469221,1.488057,2.104579,2.085743,58.88955481560244,58.36102579886955,3.5738,3.5738,4.0,9.0,4.0,8.0,0.018835999999999853,False,-0.018836000000000297
3920960749|718106766|14148|126.0|33.0,Region007_y26_x09_fw120um.tiff,/unlabeled-assets/train/Combined_New_Scans_Andrea/Region007_y26_x09_fw120um.tiff,3920960749,718106766,14148,126.0,33.0,2.106752,2.146616,-0.1967800000000001,-0.2366439999999999,-10.3013844182009,-12.389959926114097,1.909972,1.909972,5.0,9.0,5.0,9.0,0.03986399999999968,False,-0.039863999999999816
398232390|894929289|20113|182.0|299.0,714.tiff,/unlabeled-assets/train/grids/714.tiff,398232390,894929289,20113,182.0,299.0,1.080505,1.077792,3.086863,3.089576,74.0711220799315,74.13867260102779,4.167368,4.167368,10.0,9.0,10.0,8.0,-0.0027129999999999654,True,0.0027129999999999654
4107642794|77833391|17707|212.0|2.0,1326.tiff,/unlabeled-assets/train/grids/1326.tiff,4107642794,77833391,17707,212.0,2.0,3.726196,3.687128,0.20001500000000003,0.23908299999999996,5.092175890445013,6.089703914282752,3.926211,3.926211,4.0,8.0,4.0,8.0,-0.03906799999999988,True,0.039067999999999936
410767926|2281987669|21280|225.0|146.0,Region019_y15_x04_fw120um.tiff,/unlabeled-assets/val/Combined_New_Scans_Andrea/Region019_y15_x04_fw120um.tiff,410767926,2281987669,21280,225.0,146.0,0.57747,0.561677,2.680013,2.695806,82.27125458674689,82.75866567530821,3.257483,3.257483,4.0,9.0,4.0,8.0,-0.015793000000000057,True,0.015792999999999946
4108592242|3153529056|6004|25.0|154.0,Tile_r027_c055.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r027_c055.tiff,4108592242,3153529056,6004,25.0,154.0,0.122648,0.162228,4.926748,4.887168,97.5705181094927,96.78859004522522,5.049396,5.049396,5.0,8.0,5.0,8.0,0.03958000000000002,False,-0.03957999999999995
4152204842|383242005|10977|266.0|288.0,Tile_r028_c020.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r028_c020.tiff,4152204842,383242005,10977,266.0,288.0,0.117221,0.164189,4.411707,4.364739,97.41086372757528,96.37233042344678,4.528928,4.528928,4.0,9.0,4.0,8.0,0.046967999999999996,False,-0.04696799999999968
4161954036|3082450654|12138|280.0|81.0,Tile_r044_c013.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r044_c013.tiff,4161954036,3082450654,12138,280.0,81.0,0.128876,0.294466,0.13756400000000002,-0.028025999999999995,51.630192913976884,-10.519345443627081,0.26644,0.26644,6.0,11.0,6.0,10.0,0.16559000000000001,False,-0.16559000000000001
4208451060|3313977280|11727|171.0|251.0,Tile_r038_c040.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r038_c040.tiff,4208451060,3313977280,11727,171.0,251.0,0.136121,0.099912,4.112341,4.14855,96.79799673387686,97.64913918260302,4.248462,4.248462,5.0,10.0,5.0,10.0,-0.03620899999999999,True,0.03620900000000038
4208465549|454108232|22860|0.0|287.0,2178.tiff,/unlabeled-assets/val/grids/2178.tiff,4208465549,454108232,22860,0.0,287.0,2.74271,2.771058,-0.23000200000000015,-0.2583500000000001,-9.151775335614012,-10.280867940086951,2.512708,2.512708,6.0,9.0,5.0,8.0,0.028347999999999818,False,-0.02834799999999993
518889928|328367606|16794|90.0|189.0,Region027_y00_x05_fw120um.tiff,/unlabeled-assets/train/Combined_New_Scans_Andrea/Region027_y00_x05_fw120um.tiff,518889928,328367606,16794,90.0,189.0,0.042919,0.155998,5.056311,4.943232,99.15916195190255,96.94037690004177,5.09923,5.09923,5.0,10.0,5.0,9.0,0.113079,False,-0.11307899999999993
684048225|238574539|10119|90.0|133.0,Tile_r016_c038.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r016_c038.tiff,684048225,238574539,10119,90.0,133.0,0.226476,0.213782,3.736545,3.749239,94.28763436908359,94.60778996755253,3.963021,3.963021,5.0,8.0,5.0,8.0,-0.01269400000000001,True,0.012694000000000205
831305929|1766360093|5382|30.0|96.0,Tile_r019_c057.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r019_c057.tiff,831305929,1766360093,5382,30.0,96.0,0.205736,0.202614,-0.17609,-0.172968,-593.9777892464413,-583.4423234163125,0.029646,0.029646,5.0,8.0,5.0,8.0,-0.0031220000000000137,True,0.003121999999999986
915642462|2109413319|14050|292.0|263.0,Region007_y19_x04_fw120um.tiff,/unlabeled-assets/train/Combined_New_Scans_Andrea/Region007_y19_x04_fw120um.tiff,915642462,2109413319,14050,292.0,263.0,2.52445,2.585676,0.39253399999999994,0.33130799999999994,13.458422233375295,11.358947844760204,2.916984,2.916984,6.0,8.0,5.0,8.0,0.061226,False,-0.061226
945660749|4083987984|15577|122.0|218.0,Region017_y03_x04_fw600um.tiff,/unlabeled-assets/train/Combined_New_Scans_Andrea/Region017_y03_x04_fw600um.tiff,945660749,4083987984,15577,122.0,218.0,0.428182,0.263729,3.745939,3.910392,89.74099200047146,93.68090374955591,4.174121,4.174121,4.0,9.0,4.0,8.0,-0.16445300000000002,True,0.16445299999999996
992352786|241150500|11878|0.0|179.0,Tile_r040_c045.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r040_c045.tiff,992352786,241150500,11878,0.0,179.0,0.12833,0.195945,4.98258,4.914965,97.4895484267968,96.16807131215381,5.11091,5.11091,4.0,8.0,4.0,8.0,0.06761500000000001,False,-0.06761499999999998
