dataset,dataset_label,sample_id,variant,variant_label,absolute_error,relative_error,signed_error,predicted_count,gt_count,gt_value,inside_gt_interval,within_1,within_10_pct
grid_scan_paper,Grid Scan Paper,Tile_r038_c031,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r038_c036,E1_raw_vlm,VLM,0,0.0,0,11,11,11.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r038_c038,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r038_c042,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r038_c043,E1_raw_vlm,VLM,1,0.5,1,3,2,2.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c044,E1_raw_vlm,VLM,1,0.2,1,6,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c045,E1_raw_vlm,VLM,1,0.3333,1,4,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c046,E1_raw_vlm,VLM,1,0.2,1,6,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c047,E1_raw_vlm,VLM,1,0.1111,1,10,9,9.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c048,E1_raw_vlm,VLM,3,0.3,3,13,10,10.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c049,E1_raw_vlm,VLM,9,1.0,9,18,9,9.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c031,E1_raw_vlm,VLM,6,1.5,6,10,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c034,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r039_c036,E1_raw_vlm,VLM,1,0.2,1,6,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c038,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r039_c039,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r039_c040,E1_raw_vlm,VLM,3,0.75,3,7,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c041,E1_raw_vlm,VLM,14,3.5,14,18,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c042,E1_raw_vlm,VLM,0,0.0,0,4,4,4.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r039_c043,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r039_c044,E1_raw_vlm,VLM,0,0.0,0,9,9,9.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r039_c045,E1_raw_vlm,VLM,2,0.4,2,7,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c046,E1_raw_vlm,VLM,2,0.1667,2,14,12,12.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c047,E1_raw_vlm,VLM,6,0.6667,6,15,9,9.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c048,E1_raw_vlm,VLM,12,1.0,12,24,12,12.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c049,E1_raw_vlm,VLM,4,0.5714,4,11,7,7.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r040_c028,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r040_c029,E1_raw_vlm,VLM,10,1.6667,10,16,6,6.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r040_c035,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r040_c036,E1_raw_vlm,VLM,1,0.2,1,6,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r040_c038,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r040_c039,E1_raw_vlm,VLM,1,0.3333,-1,2,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r040_c040,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r040_c041,E1_raw_vlm,VLM,4,1.0,4,8,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r040_c043,E1_raw_vlm,VLM,1,0.5,-1,1,2,2.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r040_c044,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r040_c047,E1_raw_vlm,VLM,0,0.0,0,5,5,5.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r040_c048,E1_raw_vlm,VLM,6,0.6,6,16,10,10.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r040_c049,E1_raw_vlm,VLM,1,0.3333,1,4,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r041_c029,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c032,E1_raw_vlm,VLM,0,0.0,0,7,7,7.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c033,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c034,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c035,E1_raw_vlm,VLM,1,0.25,1,5,4,4.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r041_c036,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c037,E1_raw_vlm,VLM,0,0.0,0,6,6,6.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c038,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c039,E1_raw_vlm,VLM,3,0.375,3,11,8,8.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r041_c040,E1_raw_vlm,VLM,17,1.5455,17,28,11,11.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r041_c041,E1_raw_vlm,VLM,1,0.2,1,6,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r041_c042,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c044,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c045,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r041_c046,E1_raw_vlm,VLM,3,0.75,3,7,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r041_c047,E1_raw_vlm,VLM,3,0.375,3,11,8,8.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r041_c048,E1_raw_vlm,VLM,1,0.1667,1,7,6,6.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c026,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r042_c029,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r042_c030,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r042_c031,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r042_c032,E1_raw_vlm,VLM,11,1.2222,11,20,9,9.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c033,E1_raw_vlm,VLM,1,0.1667,1,7,6,6.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c034,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r042_c035,E1_raw_vlm,VLM,1,0.1667,1,7,6,6.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c036,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r042_c038,E1_raw_vlm,VLM,2,0.5,2,6,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c039,E1_raw_vlm,VLM,13,1.1818,13,24,11,11.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c040,E1_raw_vlm,VLM,4,1.3333,4,7,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c042,E1_raw_vlm,VLM,0,0.0,0,6,6,6.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r042_c045,E1_raw_vlm,VLM,0,0.0,0,5,5,5.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r042_c046,E1_raw_vlm,VLM,5,1.6667,5,8,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c047,E1_raw_vlm,VLM,2,0.4,2,7,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c048,E1_raw_vlm,VLM,2,0.5,2,6,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r042_c049,E1_raw_vlm,VLM,2,0.6667,2,5,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c027,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r043_c028,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r043_c029,E1_raw_vlm,VLM,3,1.0,3,6,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c030,E1_raw_vlm,VLM,0,0.0,0,5,5,5.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r043_c031,E1_raw_vlm,VLM,1,0.25,1,5,4,4.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c032,E1_raw_vlm,VLM,4,0.5714,4,11,7,7.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c033,E1_raw_vlm,VLM,7,0.875,7,15,8,8.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c034,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r043_c035,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r043_c037,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r043_c038,E1_raw_vlm,VLM,2,0.2857,2,9,7,7.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c040,E1_raw_vlm,VLM,1,0.3333,1,4,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c041,E1_raw_vlm,VLM,1,0.3333,1,4,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c042,E1_raw_vlm,VLM,0,0.0,0,5,5,5.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r043_c043,E1_raw_vlm,VLM,2,0.6667,2,5,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c044,E1_raw_vlm,VLM,0,0.0,0,6,6,6.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r043_c045,E1_raw_vlm,VLM,2,0.3333,2,8,6,6.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c046,E1_raw_vlm,VLM,2,0.6667,2,5,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c047,E1_raw_vlm,VLM,2,1.0,2,4,2,2.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c048,E1_raw_vlm,VLM,2,0.5,2,6,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r043_c049,E1_raw_vlm,VLM,3,0.6,3,8,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c028,E1_raw_vlm,VLM,1,0.5,1,3,2,2.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c029,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r044_c030,E1_raw_vlm,VLM,9,1.2857,9,16,7,7.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c031,E1_raw_vlm,VLM,2,0.1818,2,13,11,11.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c032,E1_raw_vlm,VLM,1,0.1667,1,7,6,6.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c033,E1_raw_vlm,VLM,2,0.4,2,7,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c036,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r044_c038,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r044_c039,E1_raw_vlm,VLM,2,0.4,2,7,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c041,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r044_c042,E1_raw_vlm,VLM,2,0.5,2,6,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c043,E1_raw_vlm,VLM,1,0.25,1,5,4,4.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c044,E1_raw_vlm,VLM,9,3.0,9,12,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c045,E1_raw_vlm,VLM,1,0.25,1,5,4,4.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c047,E1_raw_vlm,VLM,7,1.1667,7,13,6,6.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r044_c048,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c027,E1_raw_vlm,VLM,0,0.0,0,4,4,4.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c028,E1_raw_vlm,VLM,2,0.4,2,7,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r045_c030,E1_raw_vlm,VLM,1,0.3333,1,4,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r045_c031,E1_raw_vlm,VLM,0,0.0,0,4,4,4.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c032,E1_raw_vlm,VLM,0,0.0,0,5,5,5.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c035,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c036,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c037,E1_raw_vlm,VLM,1,0.3333,1,4,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r045_c038,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c039,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c041,E1_raw_vlm,VLM,1,0.2,1,6,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r045_c043,E1_raw_vlm,VLM,7,0.7,7,17,10,10.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r045_c044,E1_raw_vlm,VLM,4,0.5,4,12,8,8.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r045_c045,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c047,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c048,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r045_c049,E1_raw_vlm,VLM,1,1.0,1,2,1,1.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c026,E1_raw_vlm,VLM,5,2.5,5,7,2,2.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c027,E1_raw_vlm,VLM,1,0.125,1,9,8,8.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c028,E1_raw_vlm,VLM,3,0.3333,3,12,9,9.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c029,E1_raw_vlm,VLM,1,0.2,1,6,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c030,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r046_c032,E1_raw_vlm,VLM,2,0.5,2,6,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c034,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r046_c036,E1_raw_vlm,VLM,1,0.25,1,5,4,4.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c038,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r046_c040,E1_raw_vlm,VLM,2,0.6667,2,5,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c041,E1_raw_vlm,VLM,0,0.0,0,6,6,6.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r046_c042,E1_raw_vlm,VLM,2,2.0,2,3,1,1.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c043,E1_raw_vlm,VLM,2,0.25,2,10,8,8.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r046_c045,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r046_c048,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E2_sam2_deterministic,SAM2 mask,3,0.5,3,9,6,6.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c027,E2_sam2_deterministic,SAM2 mask,1,1.0,1,2,1,1.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c031,E2_sam2_deterministic,SAM2 mask,1,1.0,1,2,1,1.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c040,E2_sam2_deterministic,SAM2 mask,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r036_c041,E2_sam2_deterministic,SAM2 mask,2,0.5,-2,2,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c042,E2_sam2_deterministic,SAM2 mask,2,2.0,2,3,1,1.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c044,E2_sam2_deterministic,SAM2 mask,3,0.4286,-3,4,7,7.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c047,E2_sam2_deterministic,SAM2 mask,1,0.5,-1,1,2,2.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c048,E2_sam2_deterministic,SAM2 mask,1,1.0,1,2,1,1.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c049,E2_sam2_deterministic,SAM2 mask,4,0.8,-4,1,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c026,E2_sam2_deterministic,SAM2 mask,2,0.6667,-2,1,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c028,E2_sam2_deterministic,SAM2 mask,2,0.6667,-2,1,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c032,E2_sam2_deterministic,SAM2 mask,4,4.0,4,5,1,1.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c037,E2_sam2_deterministic,SAM2 mask,2,0.2857,2,9,7,7.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c044,E2_sam2_deterministic,SAM2 mask,5,0.2778,-5,13,18,18.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c046,E2_sam2_deterministic,SAM2 mask,0,0.0,0,8,8,8.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r037_c047,E2_sam2_deterministic,SAM2 mask,2,0.25,-2,6,8,8.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c048,E2_sam2_deterministic,SAM2 mask,4,0.6667,-4,2,6,6.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c049,E2_sam2_deterministic,SAM2 mask,4,0.8,-4,1,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c028,E2_sam2_deterministic,SAM2 mask,1,1.0,1,2,1,1.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c031,E2_sam2_deterministic,SAM2 mask,1,0.5,1,3,2,2.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c036,E2_sam2_deterministic,SAM2 mask,6,0.5455,-6,5,11,11.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c038,E2_sam2_deterministic,SAM2 mask,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r038_c042,E2_sam2_deterministic,SAM2 mask,1,0.3333,1,4,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c043,E2_sam2_deterministic,SAM2 mask,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r038_c044,E2_sam2_deterministic,SAM2 mask,0,0.0,0,5,5,5.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r038_c045,E2_sam2_deterministic,SAM2 mask,8,2.6667,8,11,3,3.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c046,E2_sam2_deterministic,SAM2 mask,2,0.4,-2,3,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c047,E2_sam2_deterministic,SAM2 mask,2,0.2222,-2,7,9,9.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c048,E2_sam2_deterministic,SAM2 mask,7,0.7,-7,3,10,10.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c049,E2_sam2_deterministic,SAM2 mask,3,0.3333,3,12,9,9.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c031,E2_sam2_deterministic,SAM2 mask,1,0.25,1,5,4,4.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c034,E2_sam2_deterministic,SAM2 mask,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r039_c036,E2_sam2_deterministic,SAM2 mask,3,0.6,-3,2,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c038,E2_sam2_deterministic,SAM2 mask,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r039_c039,E2_sam2_deterministic,SAM2 mask,1,1.0,1,2,1,1.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c040,E2_sam2_deterministic,SAM2 mask,76,19.0,76,80,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c041,E2_sam2_deterministic,SAM2 mask,1,0.25,-1,3,4,4.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c042,E2_sam2_deterministic,SAM2 mask,2,0.5,-2,2,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c043,E2_sam2_deterministic,SAM2 mask,1,0.5,-1,1,2,2.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c044,E2_sam2_deterministic,SAM2 mask,5,0.5556,-5,4,9,9.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c045,E2_sam2_deterministic,SAM2 mask,2,0.4,2,7,5,5.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c046,E2_sam2_deterministic,SAM2 mask,10,0.8333,10,22,12,12.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r039_c047,E2_sam2_deterministic,SAM2 mask,6,0.6667,6,15,9,9.0,False,False,False
