batch_id,run_id,run_dir,source,variant,variant_label,model,gt_tile_set,gt_tile_sequence,n_path_objects,status,cell_width,cell_height,effective_cols,effective_rows,grid_level,subdivision,visual_condition,visual_condition_label,turn_count,turn_difficulty,turn_difficulty_label,turn_tile_sequence_l0,turn_coordinate_system,predicted_tile_sequence,predicted_tile_set,true_positive_tiles,false_positive_tiles,false_negative_tiles,true_positive_count,false_positive_count,false_negative_count,predicted_count,gt_count,precision,recall,f1,tile_accuracy,missed_tile_rate,extra_tile_rate,exact_match,parsing_error
case3_batch_20260618_134814,case3_batch_20260618_134814_run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_134814/run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_134814/run_002/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,4)', '(1,4)', '(2,2)', '(2,3)', '(2,4)', '(3,2)']","['(0,4)', '(1,4)', '(2,4)', '(2,3)', '(2,2)', '(3,2)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,2,medium,Medium (2 turns),"['(0,4)', '(1,4)', '(2,4)', '(2,3)', '(2,2)', '(3,2)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,2)', '(0,1)', '(1,1)']","['(0,1)', '(0,2)', '(1,1)']",[],"['(0,1)', '(0,2)', '(1,1)']","['(0,4)', '(1,4)', '(2,2)', '(2,3)', '(2,4)', '(3,2)']",0,3,6,3,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
case3_batch_20260618_134814,case3_batch_20260618_134814_run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_134814/run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_134814/run_003/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,4)', '(1,4)', '(2,2)', '(2,3)', '(2,4)', '(3,2)']","['(0,4)', '(1,4)', '(2,4)', '(2,3)', '(2,2)', '(3,2)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,2,medium,Medium (2 turns),"['(0,4)', '(1,4)', '(2,4)', '(2,3)', '(2,2)', '(3,2)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,2)', '(1,2)', '(2,2)', '(2,1)', '(3,1)']","['(0,2)', '(1,2)', '(2,1)', '(2,2)', '(3,1)']","['(2,2)']","['(0,2)', '(1,2)', '(2,1)', '(3,1)']","['(0,4)', '(1,4)', '(2,3)', '(2,4)', '(3,2)']",1,4,5,5,6,0.2,0.1667,0.1818,0.1667,0.8333,0.8,0.0,
case3_batch_20260618_153841,case3_batch_20260618_153841_run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_153841/run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_153841/run_001/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,3)', '(1,1)', '(1,2)', '(1,3)', '(2,1)']","['(0,3)', '(1,3)', '(1,2)', '(1,1)', '(2,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,2,medium,Medium (2 turns),"['(0,3)', '(1,3)', '(1,2)', '(1,1)', '(2,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,2)', '(1,2)', '(1,1)', '(2,1)']","['(0,2)', '(1,1)', '(1,2)', '(2,1)']","['(1,1)', '(1,2)', '(2,1)']","['(0,2)']","['(0,3)', '(1,3)']",3,1,2,4,5,0.75,0.6,0.6667,0.6,0.4,0.25,0.0,
case3_batch_20260618_153841,case3_batch_20260618_153841_run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_153841/run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_153841/run_002/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,3)', '(1,1)', '(1,2)', '(1,3)', '(2,1)']","['(0,3)', '(1,3)', '(1,2)', '(1,1)', '(2,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,2,medium,Medium (2 turns),"['(0,3)', '(1,3)', '(1,2)', '(1,1)', '(2,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,2)', '(1,2)', '(1,1)', '(2,1)']","['(0,2)', '(1,1)', '(1,2)', '(2,1)']","['(1,1)', '(1,2)', '(2,1)']","['(0,2)']","['(0,3)', '(1,3)']",3,1,2,4,5,0.75,0.6,0.6667,0.6,0.4,0.25,0.0,
case3_batch_20260618_153841,case3_batch_20260618_153841_run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_153841/run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_153841/run_003/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,3)', '(1,1)', '(1,2)', '(1,3)', '(2,1)']","['(0,3)', '(1,3)', '(1,2)', '(1,1)', '(2,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,2,medium,Medium (2 turns),"['(0,3)', '(1,3)', '(1,2)', '(1,1)', '(2,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,2)', '(1,2)', '(1,1)', '(2,1)']","['(0,2)', '(1,1)', '(1,2)', '(2,1)']","['(1,1)', '(1,2)', '(2,1)']","['(0,2)']","['(0,3)', '(1,3)']",3,1,2,4,5,0.75,0.6,0.6667,0.6,0.4,0.25,0.0,
case3_batch_20260618_163354,case3_batch_20260618_163354_run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_163354/run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_163354/run_001/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,2)', '(1,2)', '(1,3)', '(1,4)', '(1,5)']","['(1,5)', '(1,4)', '(1,3)', '(1,2)', '(0,2)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),"['(1,5)', '(1,4)', '(1,3)', '(1,2)', '(0,2)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,2)', '(0,1)', '(1,1)', '(1,2)', '(1,3)', '(1,4)']","['(0,1)', '(0,2)', '(1,1)', '(1,2)', '(1,3)', '(1,4)']","['(0,2)', '(1,2)', '(1,3)', '(1,4)']","['(0,1)', '(1,1)']","['(1,5)']",4,2,1,6,5,0.6667,0.8,0.7273,0.8,0.2,0.3333,0.0,
case3_batch_20260618_163354,case3_batch_20260618_163354_run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_163354/run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_163354/run_002/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,2)', '(1,2)', '(1,3)', '(1,4)', '(1,5)']","['(1,5)', '(1,4)', '(1,3)', '(1,2)', '(0,2)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),"['(1,5)', '(1,4)', '(1,3)', '(1,2)', '(0,2)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,1)', '(1,1)', '(1,2)']","['(0,1)', '(1,1)', '(1,2)']","['(1,2)']","['(0,1)', '(1,1)']","['(0,2)', '(1,3)', '(1,4)', '(1,5)']",1,2,4,3,5,0.3333,0.2,0.25,0.2,0.8,0.6667,0.0,
case3_batch_20260618_163354,case3_batch_20260618_163354_run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_163354/run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_163354/run_003/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,2)', '(1,2)', '(1,3)', '(1,4)', '(1,5)']","['(1,5)', '(1,4)', '(1,3)', '(1,2)', '(0,2)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),"['(1,5)', '(1,4)', '(1,3)', '(1,2)', '(0,2)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,1)', '(1,1)', '(1,2)']","['(0,1)', '(1,1)', '(1,2)']","['(1,2)']","['(0,1)', '(1,1)']","['(0,2)', '(1,3)', '(1,4)', '(1,5)']",1,2,4,3,5,0.3333,0.2,0.25,0.2,0.8,0.6667,0.0,
case3_batch_20260618_172720,case3_batch_20260618_172720_run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_172720/run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_172720/run_001/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,0)', '(1,0)', '(1,1)', '(1,2)', '(2,2)', '(3,0)', '(3,1)', '(3,2)']","['(3,0)', '(3,1)', '(3,2)', '(2,2)', '(1,2)', '(1,1)', '(1,0)', '(0,0)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),"['(3,0)', '(3,1)', '(3,2)', '(2,2)', '(1,2)', '(1,1)', '(1,0)', '(0,0)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,0)', '(1,0)', '(1,1)', '(2,1)', '(3,1)', '(3,2)', '(3,0)']","['(0,0)', '(1,0)', '(1,1)', '(2,1)', '(3,0)', '(3,1)', '(3,2)']","['(0,0)', '(1,0)', '(1,1)', '(3,0)', '(3,1)', '(3,2)']","['(2,1)']","['(1,2)', '(2,2)']",6,1,2,7,8,0.8571,0.75,0.8,0.75,0.25,0.1429,0.0,
case3_batch_20260618_172720,case3_batch_20260618_172720_run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_172720/run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_172720/run_002/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,0)', '(1,0)', '(1,1)', '(1,2)', '(2,2)', '(3,0)', '(3,1)', '(3,2)']","['(3,0)', '(3,1)', '(3,2)', '(2,2)', '(1,2)', '(1,1)', '(1,0)', '(0,0)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),"['(3,0)', '(3,1)', '(3,2)', '(2,2)', '(1,2)', '(1,1)', '(1,0)', '(0,0)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,0)', '(1,0)', '(0,1)', '(1,1)', '(2,0)', '(2,1)']","['(0,0)', '(0,1)', '(1,0)', '(1,1)', '(2,0)', '(2,1)']","['(0,0)', '(1,0)', '(1,1)']","['(0,1)', '(2,0)', '(2,1)']","['(1,2)', '(2,2)', '(3,0)', '(3,1)', '(3,2)']",3,3,5,6,8,0.5,0.375,0.4286,0.375,0.625,0.5,0.0,
case3_batch_20260618_172720,case3_batch_20260618_172720_run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_172720/run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_172720/run_003/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,0)', '(1,0)', '(1,1)', '(1,2)', '(2,2)', '(3,0)', '(3,1)', '(3,2)']","['(3,0)', '(3,1)', '(3,2)', '(2,2)', '(1,2)', '(1,1)', '(1,0)', '(0,0)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),"['(3,0)', '(3,1)', '(3,2)', '(2,2)', '(1,2)', '(1,1)', '(1,0)', '(0,0)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,0)', '(1,0)', '(0,1)', '(1,1)', '(2,0)', '(2,1)']","['(0,0)', '(0,1)', '(1,0)', '(1,1)', '(2,0)', '(2,1)']","['(0,0)', '(1,0)', '(1,1)']","['(0,1)', '(2,0)', '(2,1)']","['(1,2)', '(2,2)', '(3,0)', '(3,1)', '(3,2)']",3,3,5,6,8,0.5,0.375,0.4286,0.375,0.625,0.5,0.0,
case3_batch_20260618_182254,case3_batch_20260618_182254_run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_182254/run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_182254/run_001/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,0)', '(0,2)', '(0,3)', '(0,4)', '(1,0)', '(1,1)', '(1,2)', '(1,4)', '(2,4)', '(2,5)']","['(0,0)', '(1,0)', '(1,1)', '(1,2)', '(0,2)', '(0,3)', '(0,4)', '(1,4)', '(2,4)', '(2,5)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,5,very_hard,Very hard (>3 turns),"['(0,0)', '(1,0)', '(1,1)', '(1,2)', '(0,2)', '(0,3)', '(0,4)', '(1,4)', '(2,4)', '(2,5)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,0)', '(1,0)', '(0,1)', '(0,2)', '(1,2)', '(2,2)']","['(0,0)', '(0,1)', '(0,2)', '(1,0)', '(1,2)', '(2,2)']","['(0,0)', '(0,2)', '(1,0)', '(1,2)']","['(0,1)', '(2,2)']","['(0,3)', '(0,4)', '(1,1)', '(1,4)', '(2,4)', '(2,5)']",4,2,6,6,10,0.6667,0.4,0.5,0.4,0.6,0.3333,0.0,
